2026-08-16 18:21:02 [INFO] Новое подключение: Устройство или оператор подключились к облаку!
2026-08-16 18:22:13 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:14 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:15 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:16 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:17 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:18 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:19 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:20 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:21 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:22 [INFO] Новое подключение: Устройство или оператор подключились к облаку!
2026-08-16 18:22:22 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:23 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:25 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:28 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:29 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:30 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:31 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:32 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:33 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:34 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:35 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:36 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:41 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:43 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
